filename,latitude,longitude
1966-062-0075.ctd,48.75,-123.565
1966-062-0076.ctd,48.74166,-123.57
1966-062-0077.ctd,48.73667,-123.5733
1966-062-0078.ctd,48.73667,-123.58
1966-062-0079.ctd,48.73833,-123.5967
1966-062-0080.ctd,48.74333,-123.595
1966-062-0081.ctd,48.75333,-123.7583
1966-062-0082.ctd,48.75667,-123.59
1966-062-0083.ctd,48.75667,-123.595
1966-062-0084.ctd,48.755,-123.6083
1966-062-0085.ctd,48.75,-123.61
1966-062-0086.ctd,48.74333,-123.615
1966-062-0087.ctd,48.67667,-123.49
1966-062-0088.ctd,48.67667,-123.5233
1966-062-0089.ctd,48.69333,-123.5283
1966-062-0090.ctd,48.69333,-123.515
1966-062-0091.ctd,48.69333,-123.4983
1966-062-0092.ctd,48.69333,-123.4867
1966-062-0093.ctd,48.70167,-123.445
1966-062-0094.ctd,48.70833,-123.4583
1966-062-0095.ctd,48.71333,-123.4717
1966-062-0096.ctd,48.71,-123.0
1966-062-0097.ctd,48.725,-123.515
1966-062-0098.ctd,48.71667,-123.5283
1966-062-0099.ctd,48.70833,-123.5417
1966-062-0100.ctd,48.725,-123.5617
1966-062-0101.ctd,48.73,-123.545
1966-062-0102.ctd,48.735,-123.53
1966-062-0103.ctd,48.75167,-123.555
1966-062-0105.ctd,48.74166,-123.57
1966-062-0106.ctd,48.73667,-123.5733
1966-062-0107.ctd,48.73667,-123.58
1966-062-0108.ctd,48.73833,-123.5967
1966-062-0109.ctd,48.74333,-123.595
1966-062-0110.ctd,48.75333,-123.7583
1966-062-0111.ctd,48.75667,-123.59
1966-062-0112.ctd,48.75667,-123.595
1966-062-0113.ctd,48.755,-123.6083
1966-062-0114.ctd,48.75,-123.61
1966-062-0115.ctd,48.74333,-123.615
1966-062-0116.ctd,48.67667,-123.49
1966-062-0117.ctd,48.67667,-123.5233
1966-062-0118.ctd,48.69333,-123.5283
1966-062-0119.ctd,48.69333,-123.515
1966-062-0120.ctd,48.69333,-123.4983
1966-062-0121.ctd,48.69333,-123.4867
1966-062-0122.ctd,48.70167,-123.445
1966-062-0123.ctd,48.70833,-123.4583
1966-062-0125.ctd,48.71,-123.0
1966-062-0128.ctd,48.70833,-123.5417
1966-062-0129.ctd,48.725,-123.5617
1966-062-0133.ctd,48.74166,-123.57
1966-062-0134.ctd,48.73667,-123.5733
1966-062-0135.ctd,48.73667,-123.58
1966-062-0136.ctd,48.73833,-123.5967
1966-062-0137.ctd,48.74333,-123.595
1966-062-0138.ctd,48.75333,-123.7583
1966-062-0139.ctd,48.75667,-123.59
1966-062-0140.ctd,48.75667,-123.595
1966-062-0141.ctd,48.755,-123.6083
1966-062-0142.ctd,48.75,-123.61
1966-062-0143.ctd,48.74333,-123.615
1967-063-0001.ctd,52.375,-126.7917
1967-063-0002.ctd,52.375,-126.7917
1967-063-0003.ctd,52.375,-126.7917
1967-063-0004.ctd,52.375,-126.7917
1967-063-0005.ctd,52.375,-126.7917
1967-063-0006.ctd,52.375,-126.7917
1967-063-0007.ctd,52.375,-126.7917
1967-063-0008.ctd,52.375,-126.7917
1967-063-0009.ctd,52.375,-126.7917
1967-063-0010.ctd,52.375,-126.7917
1967-063-0011.ctd,52.375,-126.7917
1967-063-0012.ctd,52.375,-126.7917
1967-063-0013.ctd,52.375,-126.7917
1967-063-0014.ctd,52.375,-126.7917
1967-063-0015.ctd,52.375,-126.7917
1967-063-0016.ctd,52.375,-126.7917
1967-063-0017.ctd,52.375,-126.7917
1967-063-0018.ctd,52.375,-126.7917
1967-063-0019.ctd,52.375,-126.7917
1967-063-0020.ctd,52.375,-126.7917
1967-063-0021.ctd,52.375,-126.7917
1967-063-0022.ctd,52.375,-126.7917
1967-063-0023.ctd,52.375,-126.7917
1967-063-0024.ctd,52.375,-126.7917
1967-063-0025.ctd,52.375,-126.7917
1967-063-0026.ctd,52.375,-126.7917
1967-063-0027.ctd,52.375,-126.7917
1967-063-0028.ctd,52.375,-126.7917
1967-063-0029.ctd,52.375,-126.7917
1967-063-0030.ctd,52.375,-126.7917
1967-063-0031.ctd,52.375,-126.7917
1967-063-0032.ctd,52.375,-126.7917
1967-063-0033.ctd,52.375,-126.7917
1967-063-0034.ctd,52.375,-126.7917
1967-063-0035.ctd,52.375,-126.7917
1967-063-0036.ctd,52.375,-126.7917
1967-063-0037.ctd,52.375,-126.7917
1967-063-0038.ctd,52.375,-126.7917
1967-063-0039.ctd,52.375,-126.7917
1967-063-0040.ctd,52.375,-126.7917
1967-063-0041.ctd,52.375,-126.7917
1967-063-0042.ctd,52.375,-126.7917
1967-063-0043.ctd,52.375,-126.7917
1967-063-0044.ctd,52.375,-126.7917
1967-063-0045.ctd,52.375,-126.7917
1967-063-0046.ctd,52.375,-126.7917
1967-063-0047.ctd,52.375,-126.7917
1967-063-0048.ctd,52.375,-126.7917
1967-063-0049.ctd,52.375,-126.7917
1967-063-0050.ctd,52.375,-126.7917
1967-063-0051.ctd,52.375,-126.7917
1967-063-0052.ctd,52.375,-126.7917
1967-063-0053.ctd,52.375,-126.7917
1967-063-0054.ctd,52.31167,-127.1617
1967-063-0055.ctd,52.31167,-127.1617
1967-063-0056.ctd,52.31167,-127.1617
1967-063-0057.ctd,52.31167,-127.1617
1967-063-0058.ctd,52.31167,-127.1617
1967-063-0059.ctd,52.31167,-127.1617
1967-063-0060.ctd,52.31167,-127.1617
1967-063-0061.ctd,52.31167,-127.1617
1967-063-0062.ctd,52.31167,-127.1617
1967-063-0063.ctd,52.31167,-127.1617
1967-063-0064.ctd,52.31167,-127.1617
1967-063-0065.ctd,52.31167,-127.1617
1967-063-0066.ctd,52.31167,-127.1617
1967-063-0067.ctd,52.31167,-127.1617
1967-063-0068.ctd,52.31167,-127.1617
1967-063-0069.ctd,52.31167,-127.1617
1967-063-0070.ctd,52.31167,-127.1617
1967-063-0071.ctd,52.31167,-127.1617
1967-063-0072.ctd,52.31167,-127.1617
1967-063-0073.ctd,52.31167,-127.1617
1967-063-0074.ctd,52.31167,-127.1617
1967-063-0075.ctd,52.31167,-127.1617
1967-063-0076.ctd,52.31167,-127.1617
1967-063-0077.ctd,52.31167,-127.1617
1967-063-0078.ctd,52.31167,-127.1617
1967-063-0079.ctd,52.31167,-127.1617
1967-063-0080.ctd,52.31167,-127.1617
1967-063-0081.ctd,52.31167,-127.1617
1967-063-0082.ctd,52.31167,-127.1617
1967-063-0083.ctd,52.31167,-127.1617
1967-063-0084.ctd,52.31167,-127.1617
1967-063-0085.ctd,52.31167,-127.1617
1967-063-0086.ctd,52.31167,-127.1617
1967-063-0087.ctd,52.31167,-127.1617
1967-063-0088.ctd,52.31167,-127.1617
1967-063-0089.ctd,52.31167,-127.1617
1967-063-0090.ctd,52.31167,-127.1617
1967-063-0091.ctd,52.31167,-127.1617
1967-063-0092.ctd,52.31167,-127.1617
1967-063-0093.ctd,51.90833,-127.85
1967-063-0094.ctd,51.90833,-127.85
1967-063-0095.ctd,51.90833,-127.85
1967-063-0096.ctd,51.90833,-127.85
1967-063-0097.ctd,51.90833,-127.85
1967-063-0098.ctd,51.90833,-127.85
1967-063-0099.ctd,51.90833,-127.85
1967-063-0100.ctd,51.90833,-127.85
1967-063-0101.ctd,51.90833,-127.85
1967-063-0102.ctd,51.90833,-127.85
1967-063-0103.ctd,51.90833,-127.85
1967-063-0104.ctd,51.90833,-127.85
1967-063-0105.ctd,51.90833,-127.85
1967-063-0106.ctd,51.90833,-127.85
1967-063-0107.ctd,51.90833,-127.85
1967-063-0108.ctd,51.90833,-127.85
1967-063-0109.ctd,51.90833,-127.85
1967-063-0110.ctd,51.90833,-127.85
1967-063-0111.ctd,51.90833,-127.85
1967-063-0112.ctd,51.90833,-127.85
1967-063-0113.ctd,51.90833,-127.85
1967-063-0114.ctd,51.90833,-127.85
1967-063-0115.ctd,51.90833,-127.85
1967-063-0116.ctd,51.90833,-127.85
1967-063-0117.ctd,51.90833,-127.85
1967-063-0118.ctd,51.90833,-127.85
1967-063-0119.ctd,51.90833,-127.85
1967-063-0120.ctd,51.90833,-127.85
1967-063-0121.ctd,51.90833,-127.85
1967-063-0122.ctd,51.90833,-127.85
1967-063-0123.ctd,51.90833,-127.85
1967-063-0124.ctd,51.90833,-127.85
1967-063-0125.ctd,51.90833,-127.85
1967-063-0126.ctd,51.90833,-127.85
1967-063-0127.ctd,51.90833,-127.85
1967-063-0128.ctd,51.90833,-127.85
1967-063-0129.ctd,51.90833,-127.85
1967-063-0130.ctd,51.90833,-127.85
1967-063-0131.ctd,51.90833,-127.85
1967-070-0001.ctd,48.75834,-123.615
1967-070-0002.ctd,48.74833,-123.6217
1967-070-0003.ctd,48.75834,-123.6167
1967-070-0004.ctd,48.765,-123.6417
1967-070-0005.ctd,48.75834,-123.615
1967-070-0006.ctd,48.74833,-123.6217
1967-070-0007.ctd,48.75834,-123.6167
1967-070-0008.ctd,48.765,-123.6417
1967-070-0009.ctd,48.75834,-123.615
1967-070-0010.ctd,48.74833,-123.6217
1967-070-0011.ctd,48.75834,-123.6167
1967-070-0012.ctd,48.765,-123.6417
1967-070-0013.ctd,48.75834,-123.615
1967-070-0014.ctd,48.75834,-123.6167
1967-070-0015.ctd,48.765,-123.6417
1967-070-0016.ctd,48.75834,-123.615
1967-070-0017.ctd,48.75834,-123.6167
